idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
Template itineraries with light customization.,1,6,"79,000–199,000 VND"
Temporary tattoo and henna application (\$20–\$100 per design),1,1,"150,000–500,000 VND"
Translation hotline / live interpreter minutes,1,5,"300,000–800,000 VND/hour"
Travel adapter and electronics kit sales (\$20–\$60 per kit),1,8,"80,000–220,000 VND"
Travel app subscriptions and recommendations (affiliate commission),1,6,"49,000–149,000 VND/month"
Travel blog post writing and SEO optimization (\$200–\$500 per post),1,1,"1,500,000–5,000,000 VND"
Travel guides and maps sales or digital licensing,1,4,"49,000–199,000 VND"
Travel itinerary template collections (\$9.99–\$24.99),1,6,"49,000–129,000 VND"
Travel journaling templates and notebooks (\$9.99–\$24.99),1,4,"49,000–149,000 VND"
Travel packing templates by climate and duration (\$2.99–\$9.99),1,7,"29,000–79,000 VND"
Trip budgeting spreadsheet templates (downloadable: \$4.99–\$14.99),1,7,"29,000–99,000 VND"
Use email and social media remarketing to sell new trips after guests return home.,1,2,0 VND
Vertical Video Editor Social Media Reels,1,1,"500,000–2,500,000 VND"
Vintage Itinerary Map Graphic Framed Prints,1,1,"300,000–900,000 VND"
VIP SIM card setup add-on,1,5,"300,000-900,000 VND"
VPN setup pack for workation guests,1,8,"150,000-500,000 VND"
WhatsApp concierge that sells daily upgrades,2,6,"250,000–700,000 VND/day"
Wi-Fi comfort package add-on,1,5,"120,000-350,000 VND"
