Name,Address,Latitude,Longitude,City,Price Tier,Price Segment (1-10),Marker Color,Operator Mention Count,Operators Confirmed,Hotel Stars,Description
Danang Marriott Resort & Spa,"Danang Marriott Resort & Spa, 7, Đường Trường Sa, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50507, Việt Nam",16.0073852,108.266296,Da Nang,8 - Premium,8,#F4511E,4,"ANEX, Art Tour, PSG, R-Express",5,"Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (4): ANEX, Art Tour, PSG, R-Express"
DLG Hotel Danang,"DLG Hotel, 258, Đường Võ Nguyên Giáp, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0579365,108.2461526,Da Nang,6 - Upper mid-range,6,#FDD835,4,"ANEX, FUN&SUN, ICS, R-Express",5,"Stars: 5. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (4): ANEX, FUN&SUN, ICS, R-Express"
Hoiana Residences,"Tay Son Tay, Duy Hai, Hoiana, Quang Nam, Vietnam",15.821574,108.404568,Hoiana,7 - Upscale,7,#FB8C00,4,"ANEX, Pegas, PSG, R-Express",5,"Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (4): ANEX, Pegas, PSG, R-Express"
Koi Resort & Residence Da Nang,"11 Truong Sa, Hoa Hai, Ngu Hanh Son, Da Nang, Vietnam",16.004841,108.268918,Da Nang,6 - Upper mid-range,6,#FDD835,4,"ANEX, BG, PACS, PSG",5,"Stars: 5. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (4): ANEX, BG, PACS, PSG"
M Hotel Danang,"M Hotel Da Nang, 286, Đường Võ Nguyên Giáp, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50507, Việt Nam",16.0517939,108.2479104,Da Nang,6 - Upper mid-range,6,#FDD835,4,"ANEX, FUN&SUN, Pegas, R-Express",5,"Stars: 5. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (4): ANEX, FUN&SUN, Pegas, R-Express"
Mandila Beach Hotel,"Mandila Beach, 216, Đường Võ Nguyên Giáp, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0674704,108.2449031,Da Nang,4 - Value,4,#7CB342,4,"ANEX, BG, PACS, PSG",4,"Stars: 4. Price tier: 4 - Value. Price segment: 4/10. Operators (4): ANEX, BG, PACS, PSG"
Minh Toan Safi Ocean Hotel,"Minh Toan Safi Ocean, Đường Võ Nguyên Giáp, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0670601,108.244862,Da Nang,3 - Cheap,3,#43A047,4,"ANEX, BG, PACS, PSG",4,"Stars: 4. Price tier: 3 - Cheap. Price segment: 3/10. Operators (4): ANEX, BG, PACS, PSG"
Non Nuoc Beach Villas,"Danang Marriott Resort & Spa, Non Nuoc Beach Villas, 23, Đường Trường Sa, Ngũ Hành Sơn Ward, Đà Nẵng, Vietnam",15.9938706,108.2702536,Da Nang,9 - Luxury,9,#E53935,4,"ANEX, Art Tour, PSG, R-Express",5,"Stars: 5. Price tier: 9 - Luxury. Price segment: 9/10. Operators (4): ANEX, Art Tour, PSG, R-Express"
Victoria Hoi An Beach Resort & Spa,"Au Co, Cua Dai Beach, Hoi An, Quang Nam, Vietnam",15.895326,108.369756,Hoi An,7 - Upscale,7,#FB8C00,4,"ANEX, BG, PACS, PSG",5,"Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (4): ANEX, BG, PACS, PSG"
Wyndham Garden Hoi An,"19 Lac Long Quan, Cam An, Hoi An, Quang Nam, Vietnam",15.8975,108.3525,Hoi An,5 - Mid-range,5,#C0CA33,4,"ANEX, BG, PACS, PSG",4,"Stars: 4. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (4): ANEX, BG, PACS, PSG"
A La Carte Danang Beach,"A La Carte Danang Beach, 200, Đường Võ Nguyên Giáp, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0687157,108.2446388,Da Nang,7 - Upscale,7,#FB8C00,3,"ANEX, PSG, R-Express",5,"Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (3): ANEX, PSG, R-Express"
Angel Hotel,"Angel Hotels, Ngô Thì Sĩ, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50507, Việt Nam",16.0486026,108.2481857,Da Nang,1 - Budget,1,#1B5E20,3,"FUN&SUN, ICS, PSG",3,"Stars: 3. Price tier: 1 - Budget. Price segment: 1/10. Operators (3): FUN&SUN, ICS, PSG"
Avatar Da Nang Hotel,"46-48 Hoang Ke Viem, Bac My An, Ngu Hanh Son, Da Nang, Vietnam",16.052,108.248,Da Nang,2 - Very cheap,2,#2E7D32,3,"FUN&SUN, ICS, PSG",4,"Stars: 4. Price tier: 2 - Very cheap. Price segment: 2/10. Operators (3): FUN&SUN, ICS, PSG"
Blue Ocean 2 Hotel,"51 Hoang Ke Viem, Bac My An, Ngu Hanh Son, Da Nang, Vietnam",16.052,108.245,Da Nang,1 - Budget,1,#1B5E20,3,"FUN&SUN, ICS, PSG",3,"Stars: 3. Price tier: 1 - Budget. Price segment: 1/10. Operators (3): FUN&SUN, ICS, PSG"
King's Finger Hotel,"187 Ho Nghinh, Son Tra, Da Nang, Vietnam",16.055,108.242,Da Nang,1 - Budget,1,#1B5E20,3,"FUN&SUN, ICS, PSG",3,"Stars: 3. Price tier: 1 - Budget. Price segment: 1/10. Operators (3): FUN&SUN, ICS, PSG"
Renaissance Hoi An Resort & Spa,"Block 6, Phuoc Hai, Cua Dai, Hoi An, Quang Nam, Vietnam",15.880556,108.388611,Hoi An,7 - Upscale,7,#FB8C00,3,"Art Tour, PSG, R-Express",5,"Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (3): Art Tour, PSG, R-Express"
Belle Maison Parosand Danang,"Belle Maison Parosand Hotel, 216, Đường Võ Nguyên Giáp, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0674697,108.2448548,Da Nang,3 - Cheap,3,#43A047,2,"Coral, Pegas",4,"Stars: 4. Price tier: 3 - Cheap. Price segment: 3/10. Operators (2): Coral, Pegas"
Fivitel Hoi An Hotel,"135 Tran Hung Dao, Hoi An, Quang Nam, Vietnam",15.879,108.335,Hoi An,4 - Value,4,#7CB342,2,"ANEX, PSG",4,"Stars: 4. Price tier: 4 - Value. Price segment: 4/10. Operators (2): ANEX, PSG"
Four Seasons Nam Hai,"Block Ha My Dong B, Dien Duong, Dien Ban, Quang Nam, Vietnam",15.872039,108.345833,Hoi An,10 - Ultra luxury,10,#B71C1C,2,"ANEX, TEZ",4,"Stars: 4. Price tier: 10 - Ultra luxury. Price segment: 10/10. Operators (2): ANEX, TEZ"
Naman Retreat,"Naman Retreat, Truong Sa, Ngu Hanh Son, Da Nang, Vietnam",15.96915,108.2847535,Hoi An,8 - Premium,8,#F4511E,2,"KOMPAS, Pegas",5,"Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (2): KOMPAS, Pegas"
Serene Nature Boutique Resort & Spa,"Thanh Nien Road, Cam Ha, Hoi An, Quang Nam, Vietnam",15.865,108.32,Hoi An,6 - Upper mid-range,6,#FDD835,2,"ANEX, R-Express",4,"Stars: 4. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (2): ANEX, R-Express"
Wyndham Danang Golden Bay,"Wyndham Danang Golden Bay Hotel, 01, Đường Lê Văn Duyệt, Phường Sơn Trà, Thành phố Đà Nẵng, 50207, Việt Nam",16.0980621,108.2243797,Da Nang,5 - Mid-range,5,#C0CA33,2,"ANEX, Pegas",5,"Stars: 5. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (2): ANEX, Pegas"
Ancient House Resort Hoi An,"Ancient House Resort, Hoi An, Vietnam",15.8802989,108.3428569,Hoi An,5 - Mid-range,5,#C0CA33,1,FUN&SUN,4,Stars: 4. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): FUN&SUN
Bamboo Green Central Hotel,"Bamboo Green Central Hotel, Thanh Khe, Da Nang, Vietnam",16.06345,108.21978,Da Nang,1 - Budget,1,#1B5E20,1,TEZ,3,Stars: 3. Price tier: 1 - Budget. Price segment: 1/10. Operators (1): TEZ
Beautiful Beach Hotel,"12 Hoang Ke Viem, Bac My An, Ngu Hanh Son, Da Nang, Vietnam",16.062,108.245,Da Nang,3 - Cheap,3,#43A047,1,TEZ,3,Stars: 3. Price tier: 3 - Cheap. Price segment: 3/10. Operators (1): TEZ
Bellerive Hoi An Resort & Spa,"33 Le Dai Hanh Street, Cua Dai Ward, Hoi An, Quang Nam, Vietnam",15.888542,108.375666,Hoi An,7 - Upscale,7,#FB8C00,1,FUN&SUN,5,Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (1): FUN&SUN
Centara Sandy Beach Resort Danang,"Sandy Beach Non Nuoc Resort Danang By Centara, Da Nang, Vietnam",15.99683,108.27111,Da Nang,7 - Upscale,7,#FB8C00,1,TEZ,4,Stars: 4. Price tier: 7 - Upscale. Price segment: 7/10. Operators (1): TEZ
Centre Point Hotel and Residence,"Centre Point Hotel and Residence, Đường Nguyễn Thị Minh Khai, Thanh Bình, Phường Hải Châu, Thành phố Đà Nẵng, 50207, Việt Nam",16.0766799,108.2174776,Da Nang,5 - Mid-range,5,#C0CA33,1,ANEX,5,Stars: 5. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): ANEX
Century Hotel Da Nang,"Century Hotel, 105, Đường Võ Văn Kiệt, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0626108,108.2418096,Da Nang,4 - Value,4,#7CB342,1,ANEX,4,Stars: 4. Price tier: 4 - Value. Price segment: 4/10. Operators (1): ANEX
Chicland Danang Beach Hotel,"105 Vo Nguyen Giap, Khue My, Ngu Hanh Son, Da Nang, Vietnam",16.04979,108.2486,Da Nang,7 - Upscale,7,#FB8C00,1,Pegas,4,Stars: 4. Price tier: 7 - Upscale. Price segment: 7/10. Operators (1): Pegas
Diamond Sea Hotel,"Diamond Sea, Đường Võ Nguyên Giáp, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0665111,108.2448813,Da Nang,6 - Upper mid-range,6,#FDD835,1,ANEX,4,Stars: 4. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (1): ANEX
Dylan Hotel Da Nang,"Mikazuki Đà Nẵng Hotel, Da Nang, DA 84236, Vietnam",16.093698,108.144566,Da Nang,3 - Cheap,3,#43A047,1,TEZ,3,Stars: 3. Price tier: 3 - Cheap. Price segment: 3/10. Operators (1): TEZ
Fansipan Da Nang Hotel,"Fansipan Hotel, Vo Nguyen Giap, Ngu Hanh Son, Da Nang, Vietnam",16.0415643,108.2483774,Da Nang,1 - Budget,1,#1B5E20,1,TEZ,3,Stars: 3. Price tier: 1 - Budget. Price segment: 1/10. Operators (1): TEZ
Furama Villas Danang,"Furama Villas, 107, Võ Nguyên Giáp, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50507, Việt Nam",16.036257,108.252374,Da Nang,9 - Luxury,9,#E53935,1,China Travel,5,Stars: 5. Price tier: 9 - Luxury. Price segment: 9/10. Operators (1): China Travel
Fusion Resort & Villas Da Nang,"Fusion Resort & Villas, Ocean Drive, Ngu Hanh Son, Da Nang, Vietnam",15.9724202,108.2822877,Da Nang,7 - Upscale,7,#FB8C00,1,ANEX,5,Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (1): ANEX
Golden Sand Resort & Spa,"Cua Dai, Hoi An, Quang Nam, Vietnam",15.905,108.352,Hoi An,4 - Value,4,#7CB342,1,TEZ,5,Stars: 5. Price tier: 4 - Value. Price segment: 4/10. Operators (1): TEZ
Grand Mercure Danang,"Grand Mercure Hoi An, Phường Hội An Tây, Thành phố Đà Nẵng, Việt Nam",15.9202798,108.3285347,Da Nang,6 - Upper mid-range,6,#FDD835,1,China Travel,5,Stars: 5. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (1): China Travel
Grandvrio Ocean Resort Danang,"Lac Long Quan Street, Dien Ngoc Ward, Dien Ban, Quang Nam, Vietnam",15.9062,108.3414,Da Nang,5 - Mid-range,5,#C0CA33,1,ANEX,5,Stars: 5. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): ANEX
Green Heaven Resort & Spa,"81 Nguyen Duy Hieu, Cam Chau, Hoi An, Quang Nam, Vietnam",15.868,108.34,Hoi An,2 - Very cheap,2,#2E7D32,1,TEZ,4,Stars: 4. Price tier: 2 - Very cheap. Price segment: 2/10. Operators (1): TEZ
Green Hotel Danang,"Khách sạn Green Plaza, 238, Đường Lê Hồng Phong, Phước Ninh, Phường Hải Châu, Thành phố Đà Nẵng, 02363, Việt Nam",16.0634262,108.2236979,Da Nang,4 - Value,4,#7CB342,1,TEZ,3,Stars: 3. Price tier: 4 - Value. Price segment: 4/10. Operators (1): TEZ
Hoi An Field Villa & Spa,"Lac Long Quan, Cam Ha, Hoi An, Quang Nam, Vietnam",15.88,108.35,Hoi An,1 - Budget,1,#1B5E20,1,R-Express,3,Stars: 3. Price tier: 1 - Budget. Price segment: 1/10. Operators (1): R-Express
Hoi An Memories Land,"Hoi An Memories Land, Phường Hội An, Thành phố Đà Nẵng, Việt Nam",15.8751381,108.3398096,Hoi An,7 - Upscale,7,#FB8C00,1,ANEX,5,Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (1): ANEX
Hoi An Odyssey Hotel,"Hoi An Odyssey Hotel & Spa, Lương Như Bích, An Hội, Phố cổ Hội An, Phường Hội An, Thành phố Đà Nẵng, 64000, Việt Nam",15.8719982,108.3299675,Hoi An,4 - Value,4,#7CB342,1,FUN&SUN,4,Stars: 4. Price tier: 4 - Value. Price segment: 4/10. Operators (1): FUN&SUN
Hoi An Rose Garden Hotel,"576 Cua Dai, Cam Chau, Hoi An, Quang Nam, Vietnam",15.8802989,108.3428569,Hoi An,1 - Budget,1,#1B5E20,1,R-Express,3,Stars: 3. Price tier: 1 - Budget. Price segment: 1/10. Operators (1): R-Express
Hotel Royal Hoi An - MGallery,"39 Dao Duy Tu Street, Hoi An, Quang Nam, Vietnam",15.8766,108.3199,Hoi An,8 - Premium,8,#F4511E,1,R-Express,5,Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (1): R-Express
Hyatt Regency Danang,"Hyatt Regency Resort and Spa, 5, Đường Trường Sa, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50507, Việt Nam",16.0125892,108.2637747,Da Nang,7 - Upscale,7,#FB8C00,1,China Travel,5,Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (1): China Travel
Indochine Hoi An Hotel,"Hoi An Indochine Hotel, Cua Dai area, Hoi An, Vietnam",15.875,108.336,Hoi An,3 - Cheap,3,#43A047,1,TEZ,3,Stars: 3. Price tier: 3 - Cheap. Price segment: 3/10. Operators (1): TEZ
Kay Hotel,"Kay Hotel, Hai Chau, Da Nang, Vietnam",16.0651724,108.2192072,Da Nang,1 - Budget,1,#1B5E20,1,TEZ,3,Stars: 3. Price tier: 1 - Budget. Price segment: 1/10. Operators (1): TEZ
Koi Resort & Spa Hoi An,"KOI Resort & Spa, Âu Cơ, Phường Hội An Đông, Thành phố Đà Nẵng, 51313, Việt Nam",15.8941233,108.3685679,Hoi An,5 - Mid-range,5,#C0CA33,1,TEZ,5,Stars: 5. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): TEZ
La Charm Hoi An Hotel & Spa,"La Charm Hoi An Hotel & Spa, 64, Đào Duy Từ, An Hội, Phố cổ Hội An, Phường Hội An, Thành phố Đà Nẵng, 51309, Việt Nam",15.8771622,108.3201341,Hoi An,5 - Mid-range,5,#C0CA33,1,FUN&SUN,4,Stars: 4. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): FUN&SUN
Laluna Riverside Hoi An,"Laluna Hoi An Riverside Hotel & Spa, 12, Nguyễn Du, An Hội, Phố cổ Hội An, Phường Hội An Tây, Phường Hội An, Thành phố Đà Nẵng, 51309, Việt Nam",15.8764762,108.3216752,Hoi An,5 - Mid-range,5,#C0CA33,1,FUN&SUN,4,Stars: 4. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): FUN&SUN
Lion Sea Hotel,"268 Vo Nguyen Giap, Bac My An, Ngu Hanh Son, Da Nang, Vietnam",16.052,108.243,Da Nang,1 - Budget,1,#1B5E20,1,TEZ,3,Stars: 3. Price tier: 1 - Budget. Price segment: 1/10. Operators (1): TEZ
Melia Danang Beach Resort,"Meliá Danang Beach Resort, Đường Mộc Sơn 7, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50510, Việt Nam",16.0010848,108.2691135,Da Nang,7 - Upscale,7,#FB8C00,1,Pegas,5,Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (1): Pegas
Namia River Retreat,"Namia River Retreat - Wellness Inclusive Resort, 232, Trần Nhân Tông, Phường Hội An Đông, Thành phố Đà Nẵng, 64000, Việt Nam",15.8740909,108.3520378,Hoi An,9 - Luxury,9,#E53935,1,ANEX,5,Stars: 5. Price tier: 9 - Luxury. Price segment: 9/10. Operators (1): ANEX
Nesta Hoian Resort and Spa,"135 Tran Hung Dao, Cam Chau, Hoi An, Quang Nam, Vietnam",15.865,108.33,Hoi An,5 - Mid-range,5,#C0CA33,1,ANEX,5,Stars: 5. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): ANEX
Orange Hotel,"Orange Hotel, Thanh Khe, Da Nang, Vietnam",16.06517,108.21933,Da Nang,3 - Cheap,3,#43A047,1,TEZ,3,Stars: 3. Price tier: 3 - Cheap. Price segment: 3/10. Operators (1): TEZ
Palm Garden Beach Resort & Spa,"Lac Long Quan, Cua Dai Beach, Hoi An, Quang Nam, Vietnam",15.8976157,108.3640426,Hoi An,8 - Premium,8,#F4511E,1,TEZ,5,Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (1): TEZ
Peninsula Hotel Danang,"Peninsula, Đường Lê Bôi, Phường Sơn Trà, Thành phố Đà Nẵng, 50408, Việt Nam",16.0815678,108.2470677,Da Nang,6 - Upper mid-range,6,#FDD835,1,ANEX,5,Stars: 5. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (1): ANEX
Phuc Long Luxury Hotel Danang,"81 Vo Nguyen Giap, Khue My, Ngu Hanh Son, Da Nang, Vietnam",16.045,108.246,Da Nang,8 - Premium,8,#F4511E,1,TEZ,4,Stars: 4. Price tier: 8 - Premium. Price segment: 8/10. Operators (1): TEZ
Pulchra Resort Danang,"Pulchra Resort Da Nang, Trường Sa, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50510, Việt Nam",15.9889721,108.2742601,Da Nang,8 - Premium,8,#F4511E,1,China Travel,5,Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (1): China Travel
River Suites Hoi An,"River Suites Hoi An, 4, Nguyễn Du, Hoi An Old Town, Phường Hội An Tây, Phường Hội An, Thành phố Đà Nẵng, 51309, Việt Nam",15.8766425,108.3225638,Hoi An,2 - Very cheap,2,#2E7D32,1,TEZ,4,Stars: 4. Price tier: 2 - Very cheap. Price segment: 2/10. Operators (1): TEZ
