idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
Custom Wine Cooler In-Room Regional Selection,1,4,"30,000-100,000 VND/day"
Departure Gourmet Flight Cabin Dining Box,1,1,"100,000-400,000 VND"
Design halal-friendly packages with vetted restaurants.,1,9,"100,000-400,000 VND"
Dessert tasting and chocolate experiences (\$40–\$100 per person),1,6,"300,000-1,000,000 VND"
Dining etiquette and cultural food customs coaching (\$75–\$200 per session),1,8,"100,000-400,000 VND"
Dinner reservation concierge with preferred seating,2,5,"100,000-400,000 VND"
Distillery tours and tasting experiences (commission: 10–20%),1,6,"400,000-1,200,000 VND"
Early check-in holding package with breakfast stop,1,5,"120,000-350,000 VND"
Eucalyptus Steam Aromatherapy Private Cabin,1,1,"150,000-500,000 VND"
Evening Beachfront Barefoot Gentle Stretching,1,1,"150,000-500,000 VND"
Extreme Heat Premium Gelato Tasting Flight,1,6,"300,000-1,000,000 VND"
Farm-to-table excursion with lunch,1,8,"300,000-1,000,000 VND"
Farmstead Cheese Maturation Cellar Walk,1,5,"500,000-2,000,000 VND"
Fine dining multi-course tasting menus (markup: 10–20%),1,6,"1,800,000-4,500,000 VND"
First-night food delivery timed to check-in,1,9,"80,000-250,000 VND"
Food and wine tasting tours (\$50–\$150 per person),1,6,"300,000-1,000,000 VND"
Food blogging and social media content creation (\$150–\$500 per day),1,2,"150,000-500,000 VND"
Food festival and culinary event access (commission or markup: 10–20%),1,8,"200,000-900,000 VND"
Food photography and styling service (\$100–\$300 per session),1,2,"150,000-500,000 VND"
Food-souvenir bundle for departure day,1,5,"150,000-500,000 VND"
Gluten-free dining guidance and restaurant partnerships (flat fee or commission),1,9,"150,000-400,000 VND"
Guided Barefoot Beach Grounding Sand Walk,1,5,"300,000-1,000,000 VND"
Handheld Premium Garment Fabric Steamer,1,5,"50,000-150,000 VND/day"
Hangover recovery light food,1,8,"250,000-900,000 VND"
Healthy-meal pass,1,7,"300,000-900,000 VND"
Heritage Culinary Bakery Pastry School Session,1,5,"150,000-500,000 VND"
Hidden Mid-Ocean Sandbar Zodiac Speed Shuttle,1,1,"150,000-500,000 VND"
High tea and traditional tea services (commission: 10–20%),1,6,"150,000-500,000 VND"
High-Altitude Tea Leaf Plucking & Roasting,1,1,"150,000-500,000 VND"
Hiking trail food and energy package preparation (markup: 25–35%),1,5,"300,000-1,000,000 VND"
Historic Private Cellar Wine Dispensing Card,1,5,"500,000-2,000,000 VND"
History-before-lunch compact tour for late risers,1,5,"300,000-1,000,000 VND"
Hotel restaurant dining credit packages (sell at 10–15% markup),1,9,"100,000-400,000 VND"
Ice cream and gelato artisan experiences (\$15–\$40 per person),1,6,"150,000-500,000 VND"
In-room stocked minibar upgrade curated locally,1,5,"100,000-400,000 VND"
In-Room Storm-Themed Craft Mixology Kit,1,1,"350,000-900,000 VND"
"Introduce coffee, tea, or craft beer tasting experiences with local producers.",1,6,"250,000-800,000 VND"
Introduction to Regional Wines Crash Course,1,5,"79,000-250,000 VND"
Juice cleanse and healthy beverage packages (markup: 20–30%),1,5,"150,000-500,000 VND"
Karaoke bar night-out arrangement (commission: 5–10%),1,7,"200,000-600,000 VND"
Late Arrival In-Vehicle Snack Box,1,9,"150,000-500,000 VND"
Lightweight Anodized Camping Cooking Burner,1,5,"300,000-1,000,000 VND"
Local business-lunch reservation service,1,9,"100,000-250,000 VND"
Local cooking class,1,8,"500,000-1,500,000 VND"
Local cooking classes (\$50–\$150 per person),1,8,"500,000-1,500,000 VND"
Local dessert tasting walk,1,6,"300,000-1,000,000 VND"
Local market breakfast experiences (\$25–\$60 per person),1,8,"120,000-350,000 VND"
Local-host bar-hopping orientation tour,1,7,"400,000-1,200,000 VND"
Location-based restaurant shortlist packs,1,9,"100,000-400,000 VND"
Lumbar-Support Premium Ergonomic Desk Chair,1,1,"150,000-400,000 VND/day"
Market-shopping tour with bargaining help,1,8,"300,000-1,000,000 VND"
Michelin-starred restaurant recommendations and booking (\$50–\$150 service fee),1,9,"150,000-500,000 VND"
Michelin-starred restaurant reserved seating (commission: 10–20%),1,5,"200,000-600,000 VND"
Mini wedding champagne package,1,6,"500,000-2,500,000 VND"
Mini-bar or snack-basket upgrade,1,5,"100,000-400,000 VND"
Mixology class and cocktail making experiences (\$50–\$150 per person),1,6,"350,000-900,000 VND"
Mixology masterclass,1,6,"350,000-900,000 VND"
Mountain High Tea Temple Sound Ceremony,1,1,"150,000-500,000 VND"
Music venue and nightlife tours (\$30–\$80 per person),1,7,"350,000-900,000 VND"
Mystery dinner theater experiences (\$60–\$150 per person),1,5,"600,000-1,500,000 VND"
Negotiate commission on restaurant covers/seated diners,1,5,0 VND
Night Street Market Culinary Tour Guide,1,5,"300,000-1,000,000 VND"
Nightlife buddy/host service where legal,1,7,"300,000-700,000 VND"
Noise-respect nightlife guide and partner bundle,1,7,"400,000-1,200,000 VND"
"Offer ""behind-the-scenes"" experiences with local artisans, chefs, or farmers at higher margins.",1,5,"700,000-2,000,000 VND"
"Offer ""shopping translation"" service for bargaining-heavy markets.",1,2,"150,000-500,000 VND"
Offer bar crawls and nightlife tours with drink deals and club commissions.,1,7,"400,000-1,200,000 VND"
Offer breakfast delivery service for early tours.,1,9,"300,000-1,000,000 VND"
Offer LGBTQ+ friendly nightlife tours.,1,7,"400,000-1,200,000 VND"
Offer private chef services in villas or apartments.,1,4,"100,000-400,000 VND"
Offer translation and local setup assistance for remote teams relocating temporarily.,1,5,"150,000-500,000 VND"
Olive Oil Estate Pressing & Sensory Tasting,1,5,"300,000-1,000,000 VND"
"Organize recurring group dinners (e.g., ""Welcome to Da Nang"" dinner on first night, ""Farewell"" dinner on last night).",1,5,"150,000-500,000 VND"
Owner-Led Vineyard Boutique Wine Pairing,1,6,"500,000-2,000,000 VND"
Packed lunch and picnic preparation service (\$20–\$60 per person/day),1,9,"250,000-900,000 VND"
Panoramic Rooftop Private Mixology Lesson,1,6,"1,200,000-3,000,000 VND"
Partner with local restaurants for per-head commissions on set menus.,1,5,0 VND
Pastry and bakery tours (\$30–\$75 per person),1,5,"300,000-1,000,000 VND"
Personal chef hiring coordination (commission: 15–25%),1,5,"100,000-400,000 VND"
Pet Gourmet Room Welcome treats Basket,1,1,"150,000-600,000 VND"
Pet Gourmet Specialized Nutrition Meal,1,1,"150,000-500,000 VND"
Picnic and outdoor dining setup (service fee: \$50–\$200),1,5,"100,000-400,000 VND"
Picnic hamper with scenic-spot transfer,1,5,"250,000-900,000 VND"
Picnic transfer to beach/park with cooler add-on,1,5,"250,000-900,000 VND"
Picnic-and-swim nature bundle,1,5,"250,000-900,000 VND"
Plantation Single-Origin Black Tea Shipping,1,5,"150,000-500,000 VND"
Plastic-free beach picnic-kit rental,1,5,"250,000-900,000 VND"
Premium alcohol and wine delivery (\$50–\$200 per bottle ordering fee),1,4,"150,000-500,000 VND"
Prepaid tasting-menu packages at partner restaurants,2,5,"300,000-1,000,000 VND"
Private beach dinner romantic experience,1,8,"2,000,000-8,000,000 VND"
Private Chef Beachfront Candlelit Tasting Menu,1,6,"1,800,000-4,500,000 VND"
Private chef dinner in villa or apartment,1,4,"1,800,000-4,500,000 VND"
Private chef dinner in villa/apartment,1,4,"1,800,000-4,500,000 VND"
Private chef services and meal preparation (\$150–\$500+ per day),1,4,"2,500,000-6,000,000 VND"
Private food tour for picky eaters/families,1,9,"1,500,000-4,000,000 VND"
Private Helicopter Island Scenic Flight Picnic,1,4,"8,000,000-18,000,000 VND"
Private Luxury Yacht On-Deck Gourmet Catering,1,4,"6,000,000-20,000,000 VND"
Private Speedboat Coastal Cove Picnic Escape,1,4,"250,000-900,000 VND"
Private Suite Evening Dessert Cart Delivery,1,4,"250,000-700,000 VND"
Private Villa Gourmet Champagne Breakfast Butler,1,4,"900,000-2,500,000 VND"
Private-chef balcony or villa dinner,1,4,"1,800,000-4,500,000 VND"
Provide restaurant reservation service with table guarantees at busy spots.,1,9,"200,000-600,000 VND"
Regional Aged Cheese & Charcuterie Wine Board,1,5,"150,000-500,000 VND"
Regional Craft Beer Room Mini-Fridge Pre-Load,1,6,"150,000-500,000 VND"
Regional Craft Brewery Behind-Scenes Flight,1,6,"400,000-1,200,000 VND"
Regional dining guides with restaurant reservations (digital: \$4.99–\$9.99),1,9,"300,000-1,000,000 VND"
Regional Single-Origin Coffee Monthly Box,1,1,"150,000-500,000 VND"
Regional Wild Apiary Organic Honey Tasting,1,5,"300,000-1,000,000 VND"
Relax-day light lunch bundle,1,8,"500,000-1,500,000 VND"
Repair/reuse workshop instead of souvenir shopping,1,5,"150,000-500,000 VND"
Restaurant cover commission or prepaid dining share,1,5,"100,000-400,000 VND"
Restaurant gift card packages and dining credits (resale at 5–10% markup),1,9,"100,000-400,000 VND"
Restaurant kitchen tours and cook-alongs (\$50–\$150 per person),1,8,"300,000-1,000,000 VND"
Restaurant reservations and priority seating (commission: 5–15% or flat fee),1,9,"200,000-600,000 VND"
Rooftop bar package with transfer,1,7,"300,000-800,000 VND"
Run paid online language or cooking classes for past guests.,1,8,"500,000-1,500,000 VND"
Scenic Sunset Catamaran Port Wine Tasting,1,6,"300,000-1,000,000 VND"
Seasonal festival food crawl,1,5,"300,000-800,000 VND"
"Sell ""all-inclusive food day"" passes for tours where all meals are covered.",1,5,"300,000-1,000,000 VND"
"Sell ""foodie pass"" that includes a curated list of partner restaurants, each giving you a kickback for referred guests.",1,5,"100,000-400,000 VND"
"Sell ""sunset drinks"" add-on to boat or rooftop experiences.",1,7,"150,000-500,000 VND"
"Sell ""team-building"" experiences combining tours with structured activities.",1,2,"300,000-1,000,000 VND"
Sell pre-negotiated fixed-price souvenir packs for those who dislike bargaining.,1,2,"150,000-500,000 VND"
Sell snack packs or picnic baskets.,1,9,"250,000-900,000 VND"
Set up affiliate tracking for hotel and restaurant referrals.,1,2,0 VND
Shoppable map pins for restaurants and shops,1,5,"100,000-400,000 VND"
Single-Origin Dark Chocolate Sensory Tasting,1,6,"300,000-1,000,000 VND"
Single-Origin Premium Coffee Capsule Bar,1,5,"150,000-500,000 VND"
Single-Origin Specialty Coffee Sensory Cupping,1,6,"150,000-500,000 VND"
Small-group street food tour,2,8,"300,000-800,000 VND"
Snack and convenience item delivery service (markup: 25–35%),1,5,"80,000-250,000 VND"
Special occasion dinner coordination (planning fee: \$100–\$300),1,5,"500,000-2,000,000 VND"
Specialty coffee equipment and brewing classes (\$50–\$120 per person),1,6,"300,000-1,000,000 VND"
Specialty coffee trail with tastings,1,8,"250,000-800,000 VND"
Street food and authentic local eating tours (\$30–\$80 per person),1,8,"300,000-800,000 VND"
Street food tours (\$30–\$60 per person),1,8,"300,000-800,000 VND"
Sunrise hike with guide and breakfast,1,2,"300,000-1,000,000 VND"
Sunrise Organic Farm Harvest Breakfast Tour,1,5,"300,000-1,000,000 VND"
Sunset dinner cruise,1,7,"900,000-2,500,000 VND"
Tailored Organic Weight-Loss Meal Menu,1,1,"100,000-400,000 VND"
Tasting menu exclusives (\$100–\$300 per person),1,6,"1,500,000-4,000,000 VND"
Tea plantation and tasting experiences (\$40–\$100 per person),1,5,"250,000-700,000 VND"
Team-building style local event for small groups,1,2,"150,000-500,000 VND"
Traditional Clay Pot Culinary Masterclass,1,5,"300,000-1,000,000 VND"
Traditional Gourmet Snacks Recurring Gift Box,1,4,"150,000-600,000 VND"
"Use simple surveys at booking to capture interests (food, nightlife, photography, nature).",1,7,0 VND
Vegetarian and vegan restaurant curation (commission: 5–10%),1,9,"100,000-250,000 VND"
Vegetarian/vegan local-food route,1,9,"100,000-400,000 VND"
Vegetarian/vegan restaurant guides by city (\$3.99–\$9.99),1,9,"300,000-1,000,000 VND"
Vineyard Owner Private Estate Wine Sampling,1,6,"500,000-2,000,000 VND"
Vintage Estate Red Wine Shipping Crate,1,1,"150,000-500,000 VND"
Welcome dinner,1,9,"150,000-500,000 VND"
Wet Evening Vintage Acoustic Jazz Bar Pass,1,5,"400,000-1,200,000 VND"
Wild Mountain Foraging & Gourmet Lunch Trek,1,1,"150,000-500,000 VND"
Wine and culinary destination guides (\$9.99–\$24.99),1,5,"79,000-249,000 VND"
Wine pairing and sommelière recommendations (commission: 10–20%),1,6,"500,000-2,000,000 VND"
Wine tasting and cellar experiences (commission: 15–25%),1,6,"500,000-2,000,000 VND"
Winery/brewery/distillery half-day trip,1,6,"400,000-1,200,000 VND"
