idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
Private Armored Security Chauffeur,1,2,"3,000,000–8,000,000 VND"
Private car + driver by the full day,2,6,"1,200,000–2,800,000 VND"
Private car + driver by the half day,2,6,"700,000–1,600,000 VND"
Private car service and chauffeur (\$75–\$200+ per hour),1,6,"900,000–2,500,000 VND"
Private Executive Airport Terminal Transfer,1,2,"2,500,000–6,000,000 VND"
Private Yacht Tender Shuttle Service,1,2,"1,500,000–4,000,000 VND"
Rail platform support service,1,9,"250,000–600,000 VND"
Rail-station transfer,1,9,"250,000–600,000 VND"
Return airport transfer sold at arrival,1,9,"450,000–900,000 VND"
Ride-credit bundles with local taxi app,1,8,"300,000–800,000 VND"
Scenic Detour Chauffeur Route Choice,1,5,"800,000–1,800,000 VND"
Scenic helicopter tours (\$200–\$500 per person),1,2,"4,000,000–10,000,000 VND"
Scenic Wetland Delta Private House-Boat Day,1,2,"3,500,000–8,000,000 VND"
Scooter and moped rental (commission: 8–15%),1,6,"150,000–300,000 VND"
Seamless ferry/rail/coach transfer from airport,1,9,"350,000–800,000 VND"
Self-drive car rental with local-rules briefing,1,6,"700,000–1,500,000 VND"
Self-guided scooter and skateboard tours (equipment rental: \$25–\$75/day),1,1,"250,000–600,000 VND"
Sell return airport transfer while the guest is arriving,1,9,"450,000–900,000 VND"
Sell shared shuttle transfers from airports or stations to spread costs for budget travelers while keeping margin.,1,8,"250,000–600,000 VND"
Senior Custom Route Stair-Free Chauffeur,1,2,"1,000,000–2,200,000 VND"
Shared shuttle seats timed to major flight banks,1,9,"200,000–500,000 VND"
Stretch Limousine Skyline Transit Tour,1,2,"1,000,000–2,500,000 VND"
Sunrise/sunset transfer to scenic viewpoints,1,8,"300,000–700,000 VND"
Sunset Drive Scenic Chauffeur Detour,1,5,"700,000–1,500,000 VND"
"Taxi and ride-hailing platform (Uber, Lyft affiliate: 5–10%)",1,8,0 VND
Toll and parking fee assistance (commission or flat arrangement fee),1,4,"50,000–150,000 VND"
Tour transfer,2,7,"900,000-2,500,000 VND"
Transfer booking package,1,5,0 VND
Vintage Scooter Self-Drive Rental,1,6,"180,000–400,000 VND"
Vintage Sports-Car Mountain Route Rally,1,2,"2,500,000–6,000,000 VND"
Water taxi and speedboat service (commission: 10–20%),1,2,"300,000–800,000 VND"
Welcome-night transfer,1,9,"150,000-500,000 VND"
