idea,occurrences,guest_need_frequency,possible_price_vietnam_vnd
Multi-Destination Regional Train Booking,1,6,"100,000-300,000 VND"
"Multi-trip annual planning service (annual retainer: \$500–\$2,000)",1,3,"12,000,000-50,000,000 VND"
Nail art and design customization (\$50–\$150 per design),1,3,"300,000-1,200,000 VND"
Native Botanical Plant Medicine Forest Trail,1,1,"500,000-1,500,000 VND"
NDC airline booking bonuses (\$2–10% per booking),1,1,0 VND
"Offer ""host support"" packages for Airbnb and homestay owners, including check-in briefings and tour sales.",1,3,0 VND
"Offer ""pay-as-you-go"" with per-day concierge fees for flexible planners.",1,5,"200,000-800,000 VND/day"
"Offer a lighter ""day-pass"" concierge for short trips or late joiners.",1,6,"200,000-600,000 VND"
"Offer an ""ultimate day"" itinerary that combines 3–4 popular activities into one high-value package.",1,5,"1,500,000-4,500,000 VND"
Offer partner training on upselling your tours to their guests.,1,1,0 VND
Offer premium audio-guide devices.,1,3,"100,000-250,000 VND/day"
Offer rail or flight add-ons for multi-city trips.,1,6,"100,000-300,000 VND"
Offer rainy-season discounts with indoor-focused itineraries.,1,5,0 VND
On-the-fly itinerary edits during stay.,1,8,"200,000-700,000 VND"
One-click upsell buttons in chat.,1,2,0 VND
Optimize email send times for upsell campaigns.,1,1,0 VND
Paid human review of guest self-planned itinerary,1,5,"200,000-600,000 VND"
Paid packing/gear advice for tomorrow's activity,1,6,"100,000-250,000 VND"
Parkour and movement training (\$50–\$150 per person),1,2,"500,000-1,500,000 VND"
Partner with local governments or tourism boards on campaigns to drive volume.,1,1,0 VND
Personalized daily itinerary refreshes,2,8,"200,000-500,000 VND/day"
Photography studio rental for content creation (\$75–\$250 per hour),1,2,"800,000-2,500,000 VND/hour"
Portrait session coordination (commission: 15–25%),1,2,"300,000-900,000 VND"
Post-trip recap video assembled from guest media,1,2,"500,000-2,000,000 VND"
Post-Trip Travel Expert Itinerary Consulting,1,3,"500,000-1,500,000 VND"
Private compartment on trains where available.,1,3,"500,000-2,500,000 VND"
"Provide ""24/7 local hotline"" access as paid concierge or as part of premium package.",1,6,"300,000-1,200,000 VND"
Provide clear terms and conditions for all paid services.,1,1,0 VND
Provide real-time local updates via paid channels.,1,5,"100,000-300,000 VND"
Rainy Day Premium Escape Room Reservation,1,4,"300,000-900,000 VND"
Rainy-day indoor attractions circuit,1,6,"800,000-2,500,000 VND"
Rainy-day shift notifications.,1,7,0 VND
Raw Forest Organic Honey Sustainable Supply,1,1,"100,000-250,000 VND"
Real-time availability indicators.,1,6,0 VND
Regenerative farm visit with paid contribution,1,2,"300,000-900,000 VND"
Relationship-milestone video package,1,2,"800,000-2,500,000 VND"
Religious/faith-based travel guides (\$4.99–\$14.99),1,4,"99,000-349,000 VND"
Return trip planning and sequel coordination (\$150–\$500 retainer),1,4,"3,500,000-12,000,000 VND"
Same-day edited reel or highlight video,1,2,"500,000-1,500,000 VND"
"Sell ""digital diary"" service where photos and videos are curated into a highlight reel.",1,3,"300,000-1,000,000 VND"
Sell access to edited video compilations.,1,2,"99,000-399,000 VND"
Sell branded rain ponchos or umbrellas.,1,4,"80,000-250,000 VND"
Sell sponsored itinerary positions to qualified partners,1,1,0 VND
Sell virtual pre-trip consultations by video call.,1,5,"200,000-800,000 VND"
Senior Scenic History Gentle Walking Tour,1,4,"500,000-1,200,000 VND"
Shoe repair and maintenance service (commission: 10–15%),1,5,"50,000-200,000 VND"
Short-form video guides with paid unlocks,1,5,"49,000-199,000 VND"
Sponsored itinerary positions for qualified partners,1,1,0 VND
Teen Ocean Sailing Introductory Safe Hours,1,1,"500,000-1,500,000 VND"
Threading and precision hair removal (flat fee: \$15–\$40),1,4,"150,000-450,000 VND"
Tip-based free walking tours feeding paid upsells.,1,3,0 VND
"Track upsell take rates by channel (chat, email, in-person).",1,1,0 VND
Traditional Timber Sailing Schooner Cruise,1,2,"800,000-2,500,000 VND"
Trail-running tour with local athlete guide,1,2,"600,000-1,800,000 VND"
Train journey and scenic rail experience (commission: 10–20%),1,4,"500,000-3,000,000 VND"
Translation-ready booking assistance by chat,1,7,"100,000-300,000 VND"
Travel High-Res Wall Portrait Digital Frame,1,1,"500,000-2,000,000 VND"
Travel timeline and itinerary visualization (\$75–\$200),1,6,"1,800,000-5,000,000 VND"
Travel video editing and highlight reel production (\$200–\$600),1,2,"4,500,000-15,000,000 VND"
Use abandoned-cart emails to recover incomplete bookings.,1,2,0 VND
Use previous stay history to anticipate future interests for repeat guests.,1,6,0 VND
Use social proof in chat offers.,1,1,0 VND
Vehicle maintenance and wash service coordination (commission: 10–20%),1,2,"100,000-300,000 VND"
"Video production and crew coordination (daily rate: \$500–\$2,000)",1,1,"12,000,000-50,000,000 VND"
Virtual-assistant task bundle during the stay,1,5,"200,000-700,000 VND/day"
Voice-note concierge for fast recommendations,1,7,"100,000-300,000 VND"
Waxing and hair removal services (commission: 10–20%),1,5,"150,000-700,000 VND"
Wheelchair-accessible vehicle bookings,1,6,"800,000-2,500,000 VND"
Windproof Gore-Tex Mountain Storm Jacket,1,5,"300,000-900,000 VND"
YouTube filming location and backdrop rental (\$50–\$150 per hour),1,1,"800,000-2,500,000 VND/hour"
